SMAD2_SARA_complex;0
BAD;0
SMAD4;0
Sirt1;0
NFKB1_TPL2_complex;1
NFKBIA_RELA_NFKB1_complex;1
IL23R_IL12RB1_complex;1
IL11Ra_IL6ST_IL11_complex;1
LIFR_IL6ST_CTF1_complex;1
EFNB1_EPHB1_complex;1
RELA_NFKB1_NFKBIE_complex;1
IL17Ra_IL17Rc_IL17F_complex;1
TGFBR1_TGFBR2_complex;1
HLA_B_LILRB1_complex;1
c5a;1
HCK;1
CSF1R;1
Casp1;1
IL34;1
CCl21;1
SH2D1A;1
TGFB1_M2_macrophage__secreted_components;1
DUSP1;1
SMAD7;1
CYLD;1
ARI_ARII_bmp6_complex;1
CCL18;1
CD40LG;1
col4a3;1
CXCL13;1
EPHB1;1
FZD5_LRP5_wnt5a_complex;1
gal;1
GSK3b_APC_AXIN1_CTNNB1_CK1A_complex;1
HLA_DP_DQ_DR;1
LILRB1;1
MEKK1;1
MK2_phosphorylated;1
NRP1_PLXNA1_sema3A_complex;1
OPN;1
PLXNB2_MET_complex;1
SEMA4D;1
WNT5B_FZD1_LRP5_complex;1
GNB_GNG_GNAI3_complex;
immune_complex_complex;
IL10R1_IL10R2_complex;
CD40LG_ITGB1_ITGA1_complex;
ITGB1_ITGA1_complex;
PIP2_simple_molecule;
VegfR1;
ASC;
HBGEF;
IKK1_phosphorylated;
col4a4;
GAS6;
PRL;
col4a5;
