stable_nodes_name;occurence
apoptosis_M1_macrophage_phenotype;0
biglycan_simple_molecule;1
c5a;1
cFLIP;1
cIAP1;1
c_FOS_M1_macrophage___Cytoplasm;1
c_FOS_M1_macrophage___Cytoplasm_active;1
c_FOS_M1_macrophage___nucleus;1
c_JUN;1
c_JUN_phosphorylated_M1_macrophage___Cytoplasm;1
c_JUN_phosphorylated_M1_macrophage___nucleus;1
c_Myc_rna;1
col4a4;0,666666667
col4a5;0,666666667
dsRNA_simple_molecule;1
gal;1
gamma_secretase_complex_complex;1
notch1_JAG1_complex;1
osteoclastogenesis_M1_macrophage_phenotype;1
p15_rna;0
p21_rna;1
p300_SP1_complex;0
p38_MAP_KINASE_phosphorylated_M1_macrophage___Cytoplasm;0
p38_MAP_KINASE_phosphorylated_M1_macrophage___nucleus;0
p53_phosphorylated;1
proliferation_survival_M1_macrophage_phenotype;1
